Labeled Size,sgd,adam,adamw,rmsprop
1000,68.732,74.846,74.084,75.24
2000,76.41000000000001,78.02600000000001,76.758,78.21399999999998
3000,79.914,80.074,78.82600000000001,80.716
4000,82.38600000000001,81.674,80.16,82.532
5000,84.006,82.978,81.05199999999999,83.588
6000,85.772,84.16,82.414,84.64
7000,86.932,85.138,83.338,85.678
8000,87.99600000000001,85.982,84.188,86.41999999999999
9000,88.69800000000001,86.75,84.954,86.95599999999999
10000,89.36,87.35400000000001,85.458,87.782
